date,model_prob,market_prob,edge,edge_adj,kelly_frac_used,bet_size,outcome,profit,bankroll,surface,p1_rank,min_edge,kelly_frac,vig,fold,scheme
20060407,0.2449,0.0929,0.152,0.127,0.0014,0.7689,0,-0.7689,533.3608,Hard,680.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060407,0.5646,0.3426,0.222,0.197,0.0075,3.9871,0,-3.9871,529.3737,Hard,254.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060410,0.3086,0.1809,0.1277,0.1027,0.0013,0.6845,0,-0.6845,528.6892,Clay,95.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060410,0.2862,0.1545,0.1317,0.1067,0.0013,0.6878,1,3.1439,531.8331,Clay,85.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060410,0.4309,0.2597,0.1712,0.1462,0.002,1.0869,1,2.7304,534.5634,Clay,212.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060410,0.5732,0.2717,0.3015,0.2765,0.0094,5.0435,1,11.9565,546.52,Clay,243.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060410,0.5225,0.4041,0.1184,0.0934,0.0016,0.8945,0,-0.8945,545.6254,Clay,98.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060417,0.593,0.4924,0.1006,0.0756,0.0038,2.0526,1,1.9145,547.5399,Clay,54.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060417,0.2941,0.1268,0.1673,0.1423,0.0017,0.9186,0,-0.9186,546.6214,Clay,173.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060417,0.8354,0.6892,0.1462,0.1212,0.0339,18.5438,1,7.4219,554.0432,Clay,2.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060417,0.3778,0.1784,0.1993,0.1743,0.0022,1.2126,0,-1.2126,552.8306,Clay,69.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060417,0.286,0.1653,0.1207,0.0957,0.0012,0.6533,0,-0.6533,552.1773,Clay,139.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060417,0.2101,0.057,0.1531,0.1281,0.0014,0.7706,1,8.6232,560.8005,Clay,351.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060417,0.3293,0.2059,0.1234,0.0984,0.0013,0.7177,0,-0.7177,560.0828,Clay,54.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060424,0.4055,0.2721,0.1335,0.1085,0.0015,0.8644,1,2.0454,562.1282,Clay,57.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060424,0.5015,0.3374,0.1642,0.1392,0.0022,1.2269,0,-1.2269,560.9012,Clay,43.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060424,0.5963,0.4657,0.1305,0.1055,0.005,2.79,1,2.8954,563.7966,Clay,67.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060424,0.4796,0.2702,0.2094,0.1844,0.0026,1.4753,0,-1.4753,562.3213,Clay,159.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060424,0.5448,0.3946,0.1502,0.1252,0.0022,1.2131,0,-1.2131,561.1081,Clay,75.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060424,0.3958,0.2201,0.1757,0.1507,0.002,1.1201,1,3.4498,564.558,Clay,159.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060424,0.3437,0.1471,0.1966,0.1716,0.0021,1.1704,0,-1.1704,563.3876,Clay,255.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060424,0.3366,0.1295,0.2071,0.1821,0.0022,1.2134,0,-1.2134,562.1742,Clay,339.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060424,0.451,0.1917,0.2593,0.2343,0.003,1.6814,1,6.079,568.2532,Clay,347.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060424,0.2833,0.1567,0.1265,0.1015,0.0012,0.7051,0,-0.7051,567.5481,Clay,233.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060424,0.3018,0.1639,0.1378,0.1128,0.0014,0.7895,0,-0.7895,566.7586,Clay,38.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060424,0.2424,0.055,0.1875,0.1625,0.0018,1.0008,0,-1.0008,565.7577,Clay,566.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060424,0.3598,0.2424,0.1174,0.0924,0.0013,0.7133,0,-0.7133,565.0444,Clay,86.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060424,0.6328,0.5258,0.107,0.082,0.0091,5.1595,0,-5.1595,559.8849,Clay,104.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060424,0.5196,0.4069,0.1127,0.0877,0.0015,0.8641,1,1.1368,561.0217,Clay,82.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060501,0.2773,0.1611,0.1162,0.0912,0.0011,0.6285,0,-0.6285,560.3932,Clay,78.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060501,0.5664,0.4345,0.1319,0.1069,0.0047,2.6592,0,-2.6592,557.734,Clay,50.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060501,0.4712,0.3465,0.1246,0.0996,0.0016,0.8842,1,1.4956,559.2296,Clay,50.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060501,0.3772,0.2623,0.1148,0.0898,0.0013,0.705,0,-0.705,558.5247,Clay,79.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060501,0.4723,0.1602,0.3121,0.2871,0.0035,1.968,1,8.6598,567.1845,Clay,406.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060501,0.4656,0.2113,0.2543,0.2293,0.003,1.7027,0,-1.7027,565.4818,Clay,333.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060501,0.27,0.1204,0.1497,0.1247,0.0015,0.8249,0,-0.8249,564.6569,Clay,313.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060501,0.3963,0.2333,0.163,0.138,0.0019,1.0508,0,-1.0508,563.6061,Clay,319.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060501,0.2602,0.141,0.1192,0.0942,0.0011,0.6364,1,3.1978,566.8039,Clay,246.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060501,0.4517,0.3024,0.1492,0.1242,0.0018,1.047,0,-1.047,565.7569,Clay,117.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060501,0.2961,0.0814,0.2147,0.1897,0.0021,1.201,0,-1.201,564.5559,Clay,406.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060508,0.3447,0.2129,0.1318,0.1068,0.0014,0.7913,0,-0.7913,563.7645,Clay,174.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060508,0.6068,0.4158,0.191,0.166,0.0148,8.3658,1,10.6119,574.3764,Clay,35.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060508,0.4498,0.3271,0.1227,0.0977,0.0015,0.8664,0,-0.8664,573.51,Clay,124.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060508,0.3859,0.195,0.1909,0.1659,0.0021,1.2198,0,-1.2198,572.2903,Clay,206.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060508,0.3857,0.2478,0.1379,0.1129,0.0016,0.8886,1,2.3682,574.6585,Clay,77.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060508,0.3862,0.2574,0.1288,0.1038,0.0014,0.8311,0,-0.8311,573.8274,Clay,39.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060515,0.3184,0.1977,0.1206,0.0956,0.0012,0.7059,0,-0.7059,573.1215,Clay,70.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060515,0.3413,0.2116,0.1297,0.1047,0.0014,0.786,0,-0.786,572.3355,Clay,105.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060515,0.5066,0.392,0.1146,0.0896,0.0015,0.8794,0,-0.8794,571.4561,Clay,71.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060515,0.4046,0.2629,0.1417,0.1167,0.0016,0.9364,1,2.3156,573.7717,Clay,30.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060515,0.5698,0.4598,0.11,0.085,0.004,2.2717,0,-2.2717,571.5,Clay,86.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060515,0.4088,0.2989,0.1099,0.0849,0.0013,0.718,1,1.4989,572.9989,Clay,59.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060515,0.4832,0.366,0.1172,0.0922,0.0015,0.8678,1,1.3519,574.3508,Clay,38.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060515,0.4556,0.3082,0.1474,0.1224,0.0018,1.0542,0,-1.0542,573.2966,Clay,76.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060515,0.6058,0.4541,0.1516,0.1266,0.0122,6.9692,1,7.5762,580.8728,Clay,53.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060515,0.5088,0.3002,0.2086,0.1836,0.0027,1.5806,1,3.2796,584.1524,Clay,71.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060522,0.299,0.1839,0.1152,0.0902,0.0011,0.6657,0,-0.6657,583.4867,Clay,78.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060522,0.3833,0.2552,0.1281,0.1031,0.0014,0.8355,1,2.1459,585.6325,Clay,67.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060522,0.305,0.1894,0.1156,0.0906,0.0012,0.6756,1,2.4758,588.1084,Clay,55.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060522,0.5752,0.3976,0.1776,0.1526,0.0063,3.7314,1,5.0984,593.2068,Clay,43.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060522,0.618,0.4664,0.1516,0.1266,0.0124,7.3825,1,7.6396,600.8464,Clay,20.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060522,0.4429,0.341,0.1018,0.0768,0.0012,0.7281,0,-0.7281,600.1183,Clay,35.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060529,0.8426,0.7353,0.1073,0.0823,0.0275,16.4784,1,5.1953,605.3136,Clay,28.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060529,0.8183,0.6352,0.1831,0.1581,0.0372,22.531,1,11.5955,616.9091,Clay,2.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060529,0.5202,0.334,0.1862,0.1612,0.0025,1.5513,1,2.7693,619.6784,Clay,63.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060529,0.324,0.1502,0.1738,0.1488,0.0018,1.1178,1,5.2611,624.9395,Clay,438.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060529,0.2406,0.0971,0.1435,0.1185,0.0013,0.8435,1,6.0655,631.005,Clay,455.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060529,0.4817,0.2938,0.1878,0.1628,0.0024,1.5082,1,3.2219,634.227,Clay,213.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060612,0.4094,0.2699,0.1395,0.1145,0.0016,1.0301,0,-1.0301,633.1969,Grass,256.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060612,0.2967,0.1855,0.1112,0.0862,0.0011,0.6915,0,-0.6915,632.5054,Grass,30.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060612,0.3714,0.1208,0.2506,0.2256,0.0026,1.6703,0,-1.6703,630.8351,Grass,176.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060612,0.3355,0.2353,0.1002,0.0752,0.001,0.6415,0,-0.6415,630.1936,Grass,76.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060612,0.3701,0.169,0.2011,0.1761,0.0022,1.3766,1,5.7185,635.9121,Grass,176.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060612,0.6577,0.4994,0.1583,0.1333,0.014,8.9101,1,8.08,643.9922,Grass,93.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060612,0.7249,0.5337,0.1912,0.1662,0.0301,19.3979,1,15.3225,659.3147,Grass,46.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060612,0.4164,0.2889,0.1275,0.1025,0.0015,0.9854,0,-0.9854,658.3292,Grass,89.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060612,0.4016,0.0916,0.31,0.285,0.0032,2.1239,1,16.089,674.4182,Grass,450.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060612,0.4032,0.2937,0.1095,0.0845,0.0012,0.8363,1,1.7879,676.2061,Grass,69.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060612,0.4735,0.2843,0.1891,0.1641,0.0024,1.6071,0,-1.6071,674.5991,Grass,90.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060612,0.4283,0.3236,0.1046,0.0796,0.0012,0.8247,0,-0.8247,673.7743,Grass,140.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060619,0.5472,0.163,0.3843,0.3593,0.0044,2.9808,0,-2.9808,670.7935,Grass,245.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060619,0.5361,0.4282,0.1079,0.0829,0.0015,1.0173,1,1.2277,672.0212,Grass,66.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060619,0.7244,0.5442,0.1802,0.1552,0.0288,19.3718,0,-19.3718,652.6494,Grass,64.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
20060619,0.2491,0.0646,0.1845,0.1595,0.0018,1.1436,0,-1.1436,651.5058,Grass,381.0,0.1,0.05,0.05,EXP_2000-2005→2006,expanding
