player_name,hand,height_cm,wingspan_cm,nationality
Denis Yevseyev,R,188.0,,KAZ
Dennis Novikov,R,193.0,,USA
Dennis Van Scheppingen,R,185.0,,NED
Derrick Rostagno,R,185.0,,USA
Di Wu,R,175.0,,CHN
Dick Norman,L,203.0,,BEL
Diego Junqueira,L,178.0,,ARG
Diego Nargiso,L,188.0,,ITA
Diego Perez,R,178.0,,URU
Diego Schwartzman,R,170.0,165.0,ARG
Dimitri Poliakov,R,183.0,,UKR
Dinu Pescariu,R,185.0,,ROU
Dirk Dier,R,185.0,,GER
Dirk Leppen,R,180.0,,GER
Dmitry Tursunov,R,185.0,,RUS
Dominic Thiem,R,185.0,190.0,AUT
Dominik Hrbaty,R,183.0,,SVK
Dominik Koepfer,L,180.0,,GER
Donald Johnson,L,190.0,,USA
Donald Young,L,183.0,,USA
Doug Flach,R,183.0,,USA
Dudi Sela,R,175.0,,ISR
Dusan Lajovic,R,183.0,,SRB
Dusan Vemic,R,190.0,,SRB
Dustin Brown,R,196.0,,JAM
Edouard Roger-Vasselin,R,185.0,,FRA
Eduardo Schwank,R,183.0,,ARG
Eduardo Velez,R,175.0,,MEX
Edwin Kempes,R,188.0,,NED
Egor Gerasimov,R,196.0,,BLR
Elias Ymer,R,185.0,,SWE
Emil Ruusuvuori,R,188.0,,FIN
Emilio Benfele Alvarez,R,183.0,,ESP
Emilio Gomez,R,185.0,,ECU
Emilio Nava,R,185.0,,USA
Emilio Sanchez,R,180.0,,ESP
Eric Jelen,R,180.0,,GER
Eric Winogradsky,R,188.0,,FRA
Erik Chvojka,L,185.0,,CAN
Ernesto Escobedo,R,185.0,,MEX
Ernests Gulbis,R,190.0,,LAT
Ethan Quinn,R,191.0,,USA
Evan King,L,185.0,,USA
Evgeny Donskoy,R,185.0,,RUS
Evgeny Korolev,R,185.0,,KAZ
Eyal Ran,R,183.0,,ISR
Fabian Marozsan,R,193.0,,HUN
Fabio Fognini,R,178.0,178.0,ITA
Fabrice Santoro,R,178.0,,FRA
Facundo Bagnis,L,183.0,,ARG
Facundo Diaz Acosta,L,183.0,,ARG
Federico Browne,R,180.0,,ARG
Federico Coria,R,180.0,,ARG
Federico Delbonis,L,193.0,,ARG
Federico Gaio,R,178.0,,ITA
Federico Luzzi,R,188.0,,ITA
Federico Mordegan,R,170.0,,ITA
Feliciano Lopez,L,188.0,188.0,ESP
Felipe Meligeni Alves,R,185.0,,BRA
Felipe Rivera,R,183.0,,CHI
